site ➜ /site (FRO-1272/Optimize-the-tests-Part-2 ✗) $ runTestWithHeapUsage test
yarn run v1.22.21
$ /site/node_modules/.bin/jest --clearCache
Cleared /tmp/jest_kwt5y6
Done in 3.65s.
(node:86425) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/ComparisonSection.test.tsx (46.119 s, 209 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/__tests__/Repository.test.tsx (70.219 s, 393 MB heap size)
 PASS  src/features/AIComparison/helpers/__tests__/combineFileLinesAndDiffs.test.ts (1.34 s, 371 MB heap size)
 PASS  src/core/Dropdowns/SearchDropdownWithTabs/__tests__/SearchDropdownWithTabs.test.tsx (13.604 s, 406 MB heap size)
 PASS  src/components/RepositoryView/AIPage/components/Overview/__tests__/Overview.test.tsx (85.143 s, 336 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/MetricsFilterDropdown/components/__tests__/MetricsFilterSearchableList.test.tsx (21.962 s, 374 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/__tests__/FilesComparison.test.tsx (26.998 s, 363 MB heap size)
 PASS  src/features/Settings/Emails/__tests__/Emails.test.tsx (30.485 s, 331 MB heap size)
 PASS  src/components/OrganizationView/Repositories/RepositoriesPage/__tests__/Repositories.test.tsx (30.876 s, 390 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/components/__tests__/ReviewsSubSection.test.tsx (6.937 s, 392 MB heap size)
 PASS  src/core/MainNavSearchBar/__tests__/MainNavSearchBar.test.tsx (11.129 s, 371 MB heap size)
 PASS  src/homepagev2/MainNavSearchBar/__tests__/MainNavSearchBar.test.tsx (11.052 s, 310 MB heap size)
 PASS  src/core/Dropdowns/SearchableList/__tests__/SearchableList.test.tsx (9.871 s, 327 MB heap size)
 PASS  src/components/RepositoryView/ExperimentPage/__tests__/Experiment.test.tsx (42.684 s, 354 MB heap size)
 PASS  src/features/NewRMD/__tests__/NewRMD.test.tsx (7.081 s, 374 MB heap size)
 PASS  src/features/PullRequest/Changes/components/FileDiffsView/__tests__/FileDiffsView.test.tsx (6.216 s, 440 MB heap size)
 PASS  src/features/Commit/FileDiffsView/__tests__/FileDiffsView.test.tsx (5.114 s, 460 MB heap size)
 PASS  src/core/Dropdowns/SingleSelectionDropdown/components/__tests__/ComboBoxDropdown.test.tsx (2.465 s, 454 MB heap size)
 PASS  src/features/ConfirmPasswordReset/__tests__/ConfirmPasswordReset.test.tsx (12.354 s, 412 MB heap size)
 PASS  src/features/Settings/Account/__tests__/Account.test.tsx (16.145 s, 399 MB heap size)
 PASS  src/features/Settings/Account/components/__tests__/ChangeUsernameModal.test.tsx (7.611 s, 380 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/__tests__/MetricsFilterDropdown.test.tsx (22.399 s, 406 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FiltersSection.test.tsx (34.739 s, 434 MB heap size)
 PASS  src/core/NumberInput/__tests__/NumberInput.test.tsx (2.895 s, 438 MB heap size)
 PASS  src/components/RepositoryView/AIPage/components/Overview/components/__tests__/FiltersSection.test.tsx (13.259 s, 387 MB heap size)
 PASS  src/features/Settings/Repository/containers/ChangeRepositoryNameSection/__tests__/ChangeRepositoryNameSection.test.tsx (8.138 s, 410 MB heap size)
 PASS  src/core/Auth/AuthGuard/__tests__/AuthGuard.test.tsx (2.362 s, 387 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/__tests__/Models.test.tsx (17.648 s, 349 MB heap size)
 PASS  src/components/OrganizationView/Datasets/DatasetsPage/__tests__/Datasets.test.tsx (15.066 s, 371 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/components/AllExperiments/__tests__/AllExperiments.test.tsx (16.041 s, 399 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/helpers/__tests__/getMergeabilitySummary.test.ts (0.632 s, 354 MB heap size)
 PASS  src/features/AIComparison/__tests__/AIComparison.test.tsx (30.59 s, 473 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/ComparisonItem.test.tsx (6.485 s, 489 MB heap size)
 PASS  src/features/AIComparison/MetricsComparison/__tests__/MetricsComparison.test.tsx (11.673 s, 430 MB heap size)
 PASS  src/core/Dropdowns/SingleSelectionDropdown/__tests__/SingleSelectionDropdown.test.tsx (153.792 s, 569 MB heap size)
 PASS  src/core/Dropdowns/SearchDropdown/__tests__/SearchDropdown.test.tsx (6.153 s, 483 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FileCode.test.tsx (3.914 s, 464 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/__tests__/FiltersSection.test.tsx (12.789 s, 486 MB heap size)
 PASS  src/core/Dropdowns/SearchDropdownWithTabs/components/__tests__/SearchableList.test.tsx (4.91 s, 481 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/helpers/__tests__/getReviewsStatus.test.ts (0.413 s, 468 MB heap size)
 PASS  src/features/AIComparison/PlotsComparison/__tests__/PlotsComparison.test.tsx (7.941 s, 525 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/ai/comparison.test.tsx (9.762 s, 542 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FoldersTreeView.test.tsx (3.409 s, 555 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/FileItemComparisons.test.tsx (3.91 s, 496 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/CloneDropdown/components/__tests__/CloneMethodTabs.test.tsx (4.572 s, 492 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/ai/overview.test.tsx (4.973 s, 517 MB heap size)
 PASS  src/components/RepositoryView/AIPage/components/Comparison/__tests__/Comparison.test.tsx (14.02 s, 528 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/components/Comparison/__tests__/Comparison.test.tsx (10.869 s, 497 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/components/__tests__/FileComparisonCard.test.tsx (2.623 s, 503 MB heap size)
 PASS  src/features/AIComparison/ModelTopologyComparison/containers/__tests__/ComparisonItem.test.tsx (5.513 s, 534 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/MetricsFilterDropdown/components/__tests__/MetricInputField.test.tsx (7.54 s, 500 MB heap size)
 PASS  src/components/RepositoryView/AIPage/components/Related/__tests__/Related.test.tsx (13.652 s, 523 MB heap size)
 PASS  src/features/Settings/Repository/components/__tests__/ChangeRepositoryVisibilityModal.test.tsx (3.849 s, 501 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/__tests__/MergeSection.test.tsx (2.15 s, 505 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/CloneDropdown.test.tsx (5.67 s, 504 MB heap size)
 PASS  src/features/AIComparison/ModelTopologyComparison/components/__tests__/ModelTopologyComparisonCard.test.tsx (2.226 s, 513 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/experiments/comparison.test.tsx (6.019 s, 506 MB heap size)
 PASS  src/features/NewRMD/components/__tests__/NameTextField.test.tsx (3.029 s, 493 MB heap size)
 PASS  src/components/RepositoryView/AIPage/components/Related/components/__tests__/FiltersSection.test.tsx (7.099 s, 476 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/components/Comparison/hooks/__tests__/useExperimentsOptions.test.ts (2.853 s, 462 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/components/__tests__/FilesDropdown.test.tsx (7.472 s, 509 MB heap size)
 PASS  src/features/Settings/Repository/containers/DeleteRepositorySection/__tests__/DeleteRepositorySection.test.tsx (5.188 s, 505 MB heap size)
 PASS  src/features/Register/components/__tests__/UsernameField.test.tsx (3.204 s, 515 MB heap size)
 PASS  src/core/CopyButton/__tests__/CopyButton.test.tsx (2.345 s, 518 MB heap size)
 PASS  src/features/AIComparison/ModelTopologyComparison/__tests__/ModelTopologyComparison.test.tsx (4.028 s, 538 MB heap size)
 PASS  src/features/Settings/Repository/containers/DeleteRepositorySection/components/__tests__/DeleteRepositoryModal.test.tsx (3.351 s, 545 MB heap size)
 PASS  src/features/PullRequest/__tests__/PullRequest.test.tsx (19.632 s, 568 MB heap size)
 PASS  src/features/Settings/Repository/containers/ChangeRepositoryNameSection/components/__tests__/ChangeRepositoryNameConfirmationModal.test.tsx (2.99 s, 573 MB heap size)
 PASS  src/core/VersionControlData/ModelTopologyVersions/__tests__/ModelTopologyVersions.test.tsx (3.693 s, 546 MB heap size)
 PASS  src/core/Modal/__tests__/Modal.test.tsx (2.193 s, 543 MB heap size)
 PASS  src/features/AIComparison/ModelTopologyComparison/containers/__tests__/ComparisonSection.test.tsx (3.961 s, 574 MB heap size)
 PASS  src/features/Issues/__tests__/Issues.test.tsx (22.398 s, 523 MB heap size)
 PASS  src/features/Profile/__tests__/Profile.test.tsx (35.252 s, 508 MB heap size)
 PASS  src/components/RepositoryView/hooks/__tests__/usePlots.test.ts (1.858 s, 508 MB heap size)
 PASS  src/core/VersionControlData/CodeDiffViewer/__tests__/CodeDiffViewer.test.tsx (6.897 s, 535 MB heap size)
 PASS  src/components/NavBar/__tests__/NavBar.test.tsx (8.886 s, 513 MB heap size)
 PASS  src/homepagev2/NavBar/__tests__/NavBar.test.tsx (13.01 s, 495 MB heap size)
 PASS  src/features/Login/__tests__/Login.test.tsx (7.569 s, 510 MB heap size)
 PASS  src/core/Auth/__tests__/withAuthServerSideProps.test.ts (0.591 s, 478 MB heap size)
 PASS  src/features/NewOrganization/components/__tests__/OrganizationAccountNameField.test.tsx (3.23 s, 465 MB heap size)
 PASS  src/features/ActivityTimeline/__tests__/ActivityTimeline.test.tsx (1.845 s, 465 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/components/__tests__/ChecksSubSectionHeader.test.tsx (2.08 s, 452 MB heap size)
 PASS  src/features/AIComparison/hooks/__tests__/useFiltersReducer.test.ts (1.48 s, 446 MB heap size)
 PASS  src/homepagev2/NavBar/components/ProfileMenu/components/__tests__/ProfileSwitcherMenuItem.test.tsx (2.218 s, 446 MB heap size)
 PASS  src/components/NavBar/components/ProfileMenu/components/__tests__/ProfileSwitcherMenuItem.test.tsx (2.148 s, 454 MB heap size)
 PASS  src/features/AIComparison/MetricsComparison/hooks/__tests__/useComparisonMetrics.test.ts (2.095 s, 445 MB heap size)
 PASS  src/test/pages/[owner]/settings/emails/[emailId]/confirm-verification.test.tsx (2.179 s, 451 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/components/__tests__/ReviewsSubSectionHeader.test.tsx (1.805 s, 444 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/components/AllExperiments/components/__tests__/ExperimentCard.test.tsx (2.131 s, 450 MB heap size)
 PASS  src/features/FileDiffsContent/__tests__/FileDiffsContent.test.tsx (5.683 s, 522 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/components/__tests__/MergeabilitySubSection.test.tsx (2.782 s, 510 MB heap size)
 PASS  src/features/Register/components/__tests__/EmailField.test.tsx (2.855 s, 521 MB heap size)
 PASS  src/features/AIComparison/PlotsComparison/components/__tests__/PlotsDropdown.test.tsx (5.909 s, 545 MB heap size)
 PASS  src/features/AIComparison/MetricsComparison/components/__tests__/MetricsDropdown.test.tsx (5.784 s, 535 MB heap size)
 PASS  src/components/OrganizationView/Repositories/RepositoriesPage/components/__tests__/FiltersSection.test.tsx (4.244 s, 531 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/experiments/all.test.tsx (3.982 s, 539 MB heap size)
 PASS  src/components/OrganizationView/Datasets/DatasetsPage/components/__tests__/FiltersSection.test.tsx (3.638 s, 547 MB heap size)
 PASS  src/features/Profile/components/UserInfo/components/__tests__/ProfileForm.test.tsx (19.317 s, 503 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/pulls/[pull]/commits/[commitHash].test.tsx (3.157 s, 452 MB heap size)
 PASS  src/features/Issues/components/__tests__/FiltersSection.test.tsx (9.462 s, 467 MB heap size)
 PASS  src/features/Settings/Keys/SSH/New/__tests__/New.test.tsx (25.335 s, 497 MB heap size)
 PASS  src/features/Settings/Keys/SSH/List/__tests__/List.test.tsx (5.376 s, 512 MB heap size)
 PASS  src/features/Settings/Repository/__tests__/Repository.test.tsx (4.959 s, 491 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/RepoFileExplorer.test.tsx (6.714 s, 574 MB heap size)
 PASS  src/features/hooks/__tests__/useUserProfileUpdater.test.ts (1.85 s, 551 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/pulls/[pull]/commits/index.test.tsx (2.996 s, 567 MB heap size)
 PASS  src/components/RepositoryView/hooks/__tests__/useMetrics.test.ts (1.798 s, 508 MB heap size)
 PASS  src/features/Settings/Profile/components/PublicProfileSettings/components/__tests__/PublicProfileSettingsForm.test.tsx (21.565 s, 440 MB heap size)
 PASS  src/features/ActivityTimeline/components/__tests__/UpdateLinksActivityItem.test.tsx (2.729 s, 458 MB heap size)
 PASS  src/features/AIContent/__tests__/AIContent.test.tsx (1.51 s, 439 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/components/AllExperiments/hooks/useExperimentUsersOptions.test.ts (2.037 s, 441 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/index.test.tsx (3.818 s, 470 MB heap size)
 PASS  src/features/Register/__tests__/Register.test.tsx (4.75 s, 486 MB heap size)
 PASS  src/core/VersionControlData/FilesVersions/__tests__/FilesVersions.test.tsx (13.647 s, 473 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/__tests__/MetricsFilterSummary.test.tsx (2.053 s, 482 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/MetricsFilterDropdown/components/__tests__/MetricsFilterItem.test.tsx (4.307 s, 494 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/helpers/__tests__/assignLabelAndFileLines.test.ts (0.315 s, 449 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/pulls/[pull]/conversation.test.tsx (3.029 s, 468 MB heap size)
 PASS  src/features/AIComparison/PlotsComparison/hooks/__tests__/useComparisonPlots.test.ts (2.001 s, 471 MB heap size)
 PASS  src/features/AIComparison/ModelTopologyComparison/hooks/__tests__/useComparisonTopologyChunks.test.ts (1.793 s, 471 MB heap size)
