---
title: Restore all mocks after every test suite. 
command: yarn jest --clearCache && node --expose-gc --max-old-space-size=256 ./node_modules/.bin/jest --no-coverage --no-cache --runInBand --logHeapUsage --slowTestThreshold=0
---
 
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/ComparisonSection.test.tsx (44.611 s, 209 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/__tests__/Repository.test.tsx (68.731 s, 393 MB heap size)
 PASS  src/features/AIComparison/helpers/__tests__/combineFileLinesAndDiffs.test.ts (1.404 s, 353 MB heap size)
 PASS  src/core/Dropdowns/SearchDropdownWithTabs/__tests__/SearchDropdownWithTabs.test.tsx (13.754 s, 284 MB heap size)
 PASS  src/components/RepositoryView/AIPage/components/Overview/__tests__/Overview.test.tsx (84.256 s, 352 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/MetricsFilterDropdown/components/__tests__/MetricsFilterSearchableList.test.tsx (21.166 s, 382 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/__tests__/FilesComparison.test.tsx (27.268 s, 427 MB heap size)
 PASS  src/features/Settings/Emails/__tests__/Emails.test.tsx (29.552 s, 398 MB heap size)
 PASS  src/components/OrganizationView/Repositories/RepositoriesPage/__tests__/Repositories.test.tsx (29.87 s, 421 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/components/__tests__/ReviewsSubSection.test.tsx (7.018 s, 423 MB heap size)
 PASS  src/homepagev2/MainNavSearchBar/__tests__/MainNavSearchBar.test.tsx (11.232 s, 439 MB heap size)
 PASS  src/core/MainNavSearchBar/__tests__/MainNavSearchBar.test.tsx (11.306 s, 398 MB heap size)
 PASS  src/core/Dropdowns/SearchableList/__tests__/SearchableList.test.tsx (10.331 s, 402 MB heap size)
 PASS  src/components/RepositoryView/ExperimentPage/__tests__/Experiment.test.tsx (43.655 s, 434 MB heap size)
 PASS  src/features/NewRMD/__tests__/NewRMD.test.tsx (7.117 s, 404 MB heap size)
 PASS  src/features/PullRequest/Changes/components/FileDiffsView/__tests__/FileDiffsView.test.tsx (6.248 s, 469 MB heap size)
 PASS  src/features/Commit/FileDiffsView/__tests__/FileDiffsView.test.tsx (5.229 s, 488 MB heap size)
 PASS  src/core/Dropdowns/SingleSelectionDropdown/components/__tests__/ComboBoxDropdown.test.tsx (2.511 s, 449 MB heap size)
 PASS  src/features/ConfirmPasswordReset/__tests__/ConfirmPasswordReset.test.tsx (12.445 s, 466 MB heap size)
 PASS  src/features/Settings/Account/__tests__/Account.test.tsx (15.719 s, 428 MB heap size)
 PASS  src/features/Settings/Account/components/__tests__/ChangeUsernameModal.test.tsx (7.795 s, 443 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/__tests__/MetricsFilterDropdown.test.tsx (21.347 s, 470 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FiltersSection.test.tsx (34.353 s, 414 MB heap size)
 PASS  src/core/NumberInput/__tests__/NumberInput.test.tsx (2.321 s, 419 MB heap size)
 PASS  src/components/RepositoryView/AIPage/components/Overview/components/__tests__/FiltersSection.test.tsx (13.195 s, 335 MB heap size)
 PASS  src/features/Settings/Repository/containers/ChangeRepositoryNameSection/__tests__/ChangeRepositoryNameSection.test.tsx (7.309 s, 355 MB heap size)
 PASS  src/core/Auth/AuthGuard/__tests__/AuthGuard.test.tsx (2.238 s, 357 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/__tests__/Models.test.tsx (17.298 s, 369 MB heap size)
 PASS  src/components/OrganizationView/Datasets/DatasetsPage/__tests__/Datasets.test.tsx (14.988 s, 365 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/components/AllExperiments/__tests__/AllExperiments.test.tsx (16.017 s, 369 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/helpers/__tests__/getMergeabilitySummary.test.ts (0.611 s, 354 MB heap size)
 PASS  src/features/AIComparison/__tests__/AIComparison.test.tsx (33.242 s, 471 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/ComparisonItem.test.tsx (6.044 s, 487 MB heap size)
 PASS  src/features/AIComparison/MetricsComparison/__tests__/MetricsComparison.test.tsx (11.886 s, 516 MB heap size)
 PASS  src/core/Dropdowns/SingleSelectionDropdown/__tests__/SingleSelectionDropdown.test.tsx (137.517 s, 604 MB heap size)
 PASS  src/core/Dropdowns/SearchDropdown/__tests__/SearchDropdown.test.tsx (6.646 s, 456 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FileCode.test.tsx (3.851 s, 493 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/__tests__/FiltersSection.test.tsx (12.568 s, 508 MB heap size)
 PASS  src/core/Dropdowns/SearchDropdownWithTabs/components/__tests__/SearchableList.test.tsx (4.938 s, 481 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/helpers/__tests__/getReviewsStatus.test.ts (0.391 s, 468 MB heap size)
 PASS  src/features/AIComparison/PlotsComparison/__tests__/PlotsComparison.test.tsx (8.091 s, 524 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/ai/comparison.test.tsx (9.774 s, 506 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FoldersTreeView.test.tsx (3.436 s, 501 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/FileItemComparisons.test.tsx (3.878 s, 498 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/CloneDropdown/components/__tests__/CloneMethodTabs.test.tsx (4.665 s, 495 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/ai/overview.test.tsx (4.98 s, 520 MB heap size)
 PASS  src/components/RepositoryView/AIPage/components/Comparison/__tests__/Comparison.test.tsx (13.792 s, 519 MB heap size)
